epoch,BP SGD,DFA SGD
1,0.9706,0.9007
2,0.9791,0.9361
3,0.9808,0.9476
4,0.9825,0.956
5,0.9845,0.9607
6,0.9851,0.9638
7,0.9852,0.9664
8,0.9849,0.9677
9,0.9849,0.9691
10,0.9851,0.9704
11,0.9858,0.9717
12,0.9862,0.9721
13,0.9863,0.9732
14,0.9865,0.9741
15,0.9864,0.9748
16,0.9868,0.9758
17,0.9866,0.9762
18,0.9866,0.977
19,0.9872,0.9776
20,0.9873,0.9778
1,0.9707,0.9023
2,0.9787,0.9334
3,0.9814,0.9466
4,0.983,0.9561
5,0.9838,0.9611
6,0.9851,0.9641
7,0.9863,0.9668
8,0.9865,0.9681
9,0.987,0.9687
10,0.9868,0.9708
11,0.9872,0.9714
12,0.9873,0.9719
13,0.9876,0.9733
14,0.9883,0.9743
15,0.9886,0.9746
16,0.9883,0.9753
17,0.9883,0.976
18,0.9887,0.9761
19,0.9886,0.9767
20,0.9888,0.9771
1,0.9694,0.9054
2,0.9789,0.9354
3,0.9819,0.9476
4,0.9832,0.9557
5,0.9843,0.9611
6,0.9851,0.9644
7,0.9859,0.9675
8,0.9856,0.9688
9,0.9863,0.97
10,0.9864,0.9718
11,0.9866,0.9728
12,0.9864,0.9736
13,0.9873,0.9748
14,0.9873,0.9753
15,0.9874,0.9757
16,0.9881,0.9762
17,0.9878,0.9768
18,0.9879,0.9769
19,0.988,0.9773
20,0.9879,0.9779
