epoch,DFA SGD,Alignment,Alignment_w1
1,0.4951,0.03129958733916283,0.043445877730846405
2,0.5041,0.03924165293574333,-0.04000329598784447
3,0.5012,0.07326078414916992,0.08521194010972977
4,0.5008,0.06068326532840729,0.03357750177383423
5,0.5309,0.10855693370103836,0.0585513710975647
6,0.5353,0.14544512331485748,0.06091487407684326
7,0.5395,0.1930737942457199,0.09760837256908417
8,0.5737,0.2306365966796875,0.18579484522342682
9,0.5858,0.2489548623561859,0.18981219828128815
10,0.6079,0.289336621761322,0.3200305700302124
11,0.6291,0.31278637051582336,0.30630555748939514
12,0.637,0.3346813917160034,0.3394622206687927
13,0.648,0.3500361740589142,0.31573718786239624
14,0.6449,0.3659983277320862,0.38672810792922974
15,0.6621,0.3828960657119751,0.33477017283439636
16,0.6649,0.3917619287967682,0.3842943012714386
17,0.6636,0.40058737993240356,0.42737480998039246
18,0.6736,0.40150946378707886,0.4078958034515381
19,0.679,0.40814200043678284,0.4373610019683838
20,0.6772,0.4129692316055298,0.3990667760372162
21,0.6806,0.41526198387145996,0.40782228112220764
22,0.6851,0.41714298725128174,0.43450993299484253
23,0.6889,0.41911157965660095,0.4425399601459503
24,0.6867,0.4219939708709717,0.42259910702705383
25,0.6894,0.42452266812324524,0.44574597477912903
26,0.6935,0.4266807436943054,0.49283888936042786
27,0.6986,0.42882728576660156,0.456699013710022
28,0.6965,0.4334540069103241,0.45499569177627563
29,0.7031,0.4364166557788849,0.42454004287719727
30,0.7076,0.4411982297897339,0.5032078623771667
31,0.707,0.44152888655662537,0.46805909276008606
32,0.7051,0.44710400700569153,0.44976940751075745
33,0.7031,0.4500119686126709,0.4813423454761505
34,0.7034,0.45509275794029236,0.4791486859321594
35,0.7118,0.45947766304016113,0.48098495602607727
36,0.7128,0.4624897539615631,0.5156275629997253
37,0.7144,0.46752288937568665,0.5146859288215637
38,0.7149,0.47264885902404785,0.5316199660301208
39,0.7239,0.47450241446495056,0.5291748642921448
40,0.7302,0.4790861904621124,0.5431697368621826
41,0.7178,0.4823499321937561,0.5147176384925842
42,0.7234,0.4859170913696289,0.5667321085929871
43,0.7272,0.49120327830314636,0.5053531527519226
44,0.732,0.4956101179122925,0.5676781535148621
45,0.7236,0.49858489632606506,0.5979726910591125
46,0.7335,0.5022870302200317,0.5964444875717163
47,0.7301,0.5076791048049927,0.5518587231636047
48,0.736,0.5131080746650696,0.5515671372413635
49,0.7266,0.5174698233604431,0.5670245885848999
50,0.7361,0.5203751921653748,0.5945608615875244
1,0.5056,0.08548937737941742,0.10651847720146179
2,0.4942,0.07894473522901535,0.034445878118276596
3,0.5019,0.08120546489953995,0.08955485373735428
4,0.5033,0.13759514689445496,0.12301421165466309
5,0.5195,0.16226810216903687,0.03747403994202614
6,0.5387,0.22207537293434143,0.12614543735980988
7,0.5281,0.2560667097568512,0.18922856450080872
8,0.5562,0.30486518144607544,0.2388632595539093
9,0.5713,0.3458606004714966,0.27949514985084534
10,0.6098,0.3602035641670227,0.2780493199825287
11,0.6238,0.39202308654785156,0.3395921587944031
12,0.6355,0.40890151262283325,0.3399750292301178
13,0.6355,0.4217950105667114,0.3825846016407013
14,0.6549,0.4335848093032837,0.37865230441093445
15,0.6567,0.44639715552330017,0.41938140988349915
16,0.6592,0.4537349045276642,0.4502637982368469
17,0.6706,0.46004292368888855,0.4636760354042053
18,0.6663,0.46387097239494324,0.4388994872570038
19,0.6693,0.46852245926856995,0.47719576954841614
20,0.6874,0.4691702723503113,0.47856903076171875
21,0.6805,0.4765978455543518,0.4638268053531647
22,0.677,0.4796060025691986,0.48225465416908264
23,0.6904,0.4843054711818695,0.47331076860427856
24,0.685,0.48806118965148926,0.48235687613487244
25,0.7013,0.49086514115333557,0.5359610319137573
26,0.6924,0.49224260449409485,0.45240113139152527
27,0.698,0.49722304940223694,0.5307218432426453
28,0.7001,0.4989054799079895,0.5417289137840271
29,0.6941,0.5028476119041443,0.5473402738571167
30,0.7014,0.5067213177680969,0.4961172044277191
31,0.7048,0.5096067786216736,0.5426129102706909
32,0.7048,0.5136969685554504,0.5314753651618958
33,0.707,0.5175580382347107,0.5094795227050781
34,0.7054,0.5189196467399597,0.5269123911857605
35,0.708,0.5216226577758789,0.583745539188385
36,0.7139,0.5235040187835693,0.5701210498809814
37,0.7112,0.5285568833351135,0.5468452572822571
38,0.7196,0.5322049260139465,0.5670686960220337
39,0.7137,0.5364969968795776,0.5580428838729858
40,0.7164,0.5389947891235352,0.568443238735199
41,0.7193,0.5433708429336548,0.5984684228897095
42,0.7167,0.5469427704811096,0.5732720494270325
43,0.7267,0.549227774143219,0.578339159488678
44,0.7276,0.5536409616470337,0.5973567962646484
45,0.7312,0.5557255148887634,0.6096974611282349
46,0.7335,0.5593535900115967,0.5976366400718689
47,0.7342,0.5626344084739685,0.6053385734558105
48,0.73,0.5660064220428467,0.6112924218177795
49,0.7362,0.5702917575836182,0.6213920712471008
50,0.7397,0.5719348788261414,0.6108543872833252
1,0.5018,0.03754755109548569,0.014463265426456928
2,0.4974,0.04959402233362198,0.011854122392833233
3,0.5107,0.05618916451931,0.05403074249625206
4,0.5065,0.09973441064357758,0.07441402971744537
5,0.5298,0.09825815260410309,0.008930598385632038
6,0.5286,0.13278678059577942,0.1269242912530899
7,0.5574,0.1951906532049179,0.144843190908432
8,0.5608,0.21623495221138,0.09740288555622101
9,0.5803,0.26689693331718445,0.18959815800189972
10,0.5971,0.2901388704776764,0.23943224549293518
11,0.6046,0.32942795753479004,0.2667752206325531
12,0.6211,0.35929396748542786,0.29295575618743896
13,0.6339,0.37334156036376953,0.3143197000026703
14,0.6533,0.40022391080856323,0.3913761377334595
