epoch,DFA SGD,Alignment,Alignment_w1
1,0.5093,0.10128799080848694,0.07037614285945892
2,0.552,0.13024142384529114,0.10948850214481354
3,0.6032,0.1618381142616272,0.09199780970811844
4,0.624,0.21072134375572205,0.18522734940052032
5,0.6477,0.2777383029460907,0.4281887114048004
6,0.6732,0.340755432844162,0.25266793370246887
7,0.6861,0.383350133895874,0.32442083954811096
8,0.6937,0.409530907869339,0.3227536380290985
9,0.6985,0.4322996437549591,0.38879430294036865
10,0.7146,0.4483209252357483,0.3235691487789154
11,0.7179,0.4638739824295044,0.46183133125305176
12,0.7176,0.47761809825897217,0.39337465167045593
13,0.7105,0.48852258920669556,0.4818391799926758
14,0.7248,0.500667154788971,0.4066319167613983
15,0.722,0.5100007057189941,0.30477988719940186
16,0.7263,0.5187796950340271,0.32831549644470215
17,0.734,0.5269463062286377,0.4121025800704956
18,0.7311,0.5354872345924377,0.6343080997467041
19,0.7438,0.5430796146392822,0.45006752014160156
20,0.7294,0.5502041578292847,0.5714672803878784
21,0.739,0.5565131306648254,0.5815141201019287
22,0.7425,0.5617094039916992,0.31521734595298767
23,0.7415,0.5668763518333435,0.46433281898498535
24,0.7302,0.5717618465423584,0.3423958122730255
25,0.7389,0.576209306716919,0.40587639808654785
26,0.75,0.5804128050804138,0.5607795715332031
27,0.7473,0.5835869908332825,0.5650684237480164
28,0.7499,0.586624801158905,0.6076714396476746
29,0.7505,0.5899925827980042,0.49596595764160156
30,0.738,0.5930320620536804,0.3833032250404358
31,0.7523,0.5950747728347778,0.4315900504589081
32,0.7514,0.5977590680122375,0.45550084114074707
33,0.7525,0.6004917025566101,0.5799646973609924
34,0.7443,0.6024237871170044,0.3696517050266266
35,0.7553,0.604064404964447,0.37770307064056396
36,0.7481,0.605704665184021,0.2999230921268463
37,0.7433,0.6077259182929993,0.3943540155887604
38,0.7616,0.6086899638175964,0.422976016998291
39,0.7369,0.6097221374511719,0.39210450649261475
40,0.7585,0.6111905574798584,0.3543718755245209
41,0.7547,0.6121107339859009,0.3755653202533722
42,0.7563,0.6133105158805847,0.45200833678245544
43,0.7633,0.6143251061439514,0.5781552791595459
44,0.7578,0.6154955625534058,0.43878841400146484
45,0.7618,0.616200864315033,0.3432042598724365
46,0.7528,0.6172850728034973,0.6570969820022583
47,0.7582,0.6174311637878418,0.3697056770324707
48,0.7529,0.6183010339736938,0.4305797815322876
49,0.7545,0.6188120245933533,0.35688504576683044
50,0.7611,0.6197566986083984,0.3335845172405243
1,0.4989,0.018971657380461693,0.0027977311983704567
2,0.5354,0.05071661248803139,0.0731860026717186
3,0.5933,0.10593083500862122,0.02788626030087471
4,0.5995,0.17111843824386597,0.0744786188006401
5,0.6498,0.2111692875623703,0.09695762395858765
6,0.6706,0.2265118956565857,0.3406573235988617
7,0.6832,0.24481019377708435,0.259212464094162
8,0.6887,0.258001446723938,0.28365251421928406
9,0.6946,0.2737247943878174,0.31318458914756775
10,0.6958,0.2910049259662628,0.3564349114894867
11,0.6968,0.3084515333175659,0.34831419587135315
12,0.7026,0.326643168926239,0.39222338795661926
13,0.7105,0.343360036611557,0.4330114722251892
14,0.7112,0.3597666025161743,0.30264633893966675
15,0.7106,0.3731973171234131,0.4219154119491577
16,0.7204,0.3867218494415283,0.4564759135246277
17,0.7143,0.3988219201564789,0.38470348715782166
18,0.7233,0.41019830107688904,0.2847677767276764
19,0.7189,0.41998258233070374,0.4173945188522339
20,0.7118,0.4287867546081543,0.5543007254600525
21,0.729,0.43776628375053406,0.47978469729423523
22,0.7009,0.44692373275756836,0.35623064637184143
23,0.7083,0.45277780294418335,0.3418627083301544
24,0.7397,0.45949748158454895,0.43545904755592346
25,0.7338,0.4659174084663391,0.3368830978870392
26,0.7365,0.47080010175704956,0.4355291724205017
27,0.74,0.47595855593681335,0.29384520649909973
28,0.727,0.4804249405860901,0.3989878296852112
29,0.725,0.4844526946544647,0.3502569794654846
30,0.74,0.48883503675460815,0.2776474058628082
31,0.7432,0.4925329089164734,0.518905520439148
32,0.7314,0.4955523908138275,0.547185480594635
33,0.7469,0.49831369519233704,0.4738081097602844
34,0.7355,0.5017522573471069,0.34811919927597046
35,0.7453,0.5038474798202515,0.49396613240242004
36,0.7456,0.5064964294433594,0.3825933039188385
37,0.7465,0.5091668367385864,0.5284722447395325
38,0.7438,0.5108774304389954,0.5271399617195129
39,0.7499,0.5129666924476624,0.33484792709350586
40,0.7423,0.5152804255485535,0.601318895816803
41,0.7531,0.5171107649803162,0.4061211347579956
42,0.7487,0.5187187194824219,0.2486298680305481
43,0.7413,0.5203558206558228,0.3229917287826538
44,0.7402,0.5219887495040894,0.29547783732414246
45,0.7566,0.5236579179763794,0.4689003527164459
46,0.7613,0.5243890881538391,0.2759968042373657
47,0.7586,0.52616947889328,0.44680067896842957
48,0.76,0.5276113748550415,0.4250422716140747
