Train_Method,Optimizer,Results,Error
DFA,SGD,0.6862,0.31379999999999997
DFA,SGD,0.6849,0.31510000000000005
DFA,SGD,0.6725,0.3275
DFA,Adagrad,0.7544,0.24560000000000004
DFA,Adagrad,0.727,0.273
DFA,Adagrad,0.7337,0.2663
DFA,RMSProp,0.7809,0.21909999999999996
DFA,RMSProp,0.757,0.243
DFA,RMSProp,0.7836,0.21640000000000004
DFA,Adadelta,0.7727,0.22729999999999995
DFA,Adadelta,0.7697,0.23029999999999995
DFA,Adadelta,0.7743,0.2257
DFA,Adam,0.7142,0.28580000000000005
DFA,Adam,0.7295,0.27049999999999996
DFA,Adam,0.7491,0.2509
BP,SGD,0.7586,0.24139999999999995
BP,SGD,0.7522,0.24780000000000002
BP,SGD,0.7594,0.24060000000000004
BP,Adagrad,0.758,0.242
BP,Adagrad,0.7595,0.24050000000000005
BP,Adagrad,0.7652,0.2348
BP,RMSProp,0.7903,0.2097
BP,RMSProp,0.811,0.18899999999999995
BP,RMSProp,0.8173,0.18269999999999997
BP,Adadelta,0.8074,0.1926
BP,Adadelta,0.8032,0.19679999999999997
BP,Adadelta,0.7928,0.20720000000000005
BP,Adam,0.7504,0.24960000000000004
BP,Adam,0.7442,0.2558
BP,Adam,0.7503,0.24970000000000003
