Test Accuracy,d,Method,Error
0.979,5,BP_SGD_True,0.02100000000000002
0.6945,5,BP_SGD_False,0.3055
0.8085,5,DFA_SGD_True,0.1915
0.961,5,DFA_RMSProp_True,0.039000000000000035
0.86775,10,BP_SGD_True,0.13224999999999998
0.70825,10,BP_SGD_False,0.29174999999999995
0.70125,10,DFA_SGD_True,0.29874999999999996
0.866,10,DFA_RMSProp_True,0.134
0.78425,15,BP_SGD_True,0.21575
0.64525,15,BP_SGD_False,0.35475
0.679,15,DFA_SGD_True,0.32099999999999995
0.77225,15,DFA_RMSProp_True,0.22775
0.73,20,BP_SGD_True,0.27
0.61875,20,BP_SGD_False,0.38125
0.62925,20,DFA_SGD_True,0.37075
0.68475,20,DFA_RMSProp_True,0.31525000000000003
0.69225,25,BP_SGD_True,0.30774999999999997
0.611,25,BP_SGD_False,0.389
0.62425,25,DFA_SGD_True,0.37575000000000003
0.642,25,DFA_RMSProp_True,0.358
0.9835,5,BP_SGD_True,0.01649999999999996
0.983,5,BP_SGD_False,0.017000000000000015
0.98325,5,DFA_SGD_True,0.016750000000000043
0.9845,5,DFA_RMSProp_True,0.015499999999999958
0.97625,10,BP_SGD_True,0.02375000000000005
0.977,10,BP_SGD_False,0.02300000000000002
0.97775,10,DFA_SGD_True,0.022249999999999992
0.975,10,DFA_RMSProp_True,0.025000000000000022
0.9745,15,BP_SGD_True,0.025499999999999967
0.9745,15,BP_SGD_False,0.025499999999999967
0.97325,15,DFA_SGD_True,0.02675000000000005
0.96875,15,DFA_RMSProp_True,0.03125
0.97525,20,BP_SGD_True,0.02475000000000005
0.97125,20,BP_SGD_False,0.028750000000000053
0.97025,20,DFA_SGD_True,0.029750000000000054
0.965,20,DFA_RMSProp_True,0.03500000000000003
0.97225,25,BP_SGD_True,0.027750000000000052
0.967,25,BP_SGD_False,0.03300000000000003
0.967,25,DFA_SGD_True,0.03300000000000003
0.95725,25,DFA_RMSProp_True,0.042749999999999955
0.9995,5,BP_SGD_True,0.0004999999999999449
0.97075,5,BP_SGD_False,0.029249999999999998
0.98275,5,DFA_SGD_True,0.017249999999999988
0.99575,5,DFA_RMSProp_True,0.004249999999999976
0.992,10,BP_SGD_True,0.008000000000000007
0.86425,10,BP_SGD_False,0.13575000000000004
0.87575,10,DFA_SGD_True,0.12424999999999997
0.96475,10,DFA_RMSProp_True,0.035250000000000004
0.95625,15,BP_SGD_True,0.043749999999999956
0.78325,15,BP_SGD_False,0.21675
0.82025,15,DFA_SGD_True,0.17974999999999997
0.9285,15,DFA_RMSProp_True,0.07150000000000001
0.906,20,BP_SGD_True,0.09399999999999997
0.7395,20,BP_SGD_False,0.26049999999999995
0.79225,20,DFA_SGD_True,0.20775
0.8405,20,DFA_RMSProp_True,0.15949999999999998
0.84225,25,BP_SGD_True,0.15774999999999995
0.71825,25,BP_SGD_False,0.28174999999999994
0.7375,25,DFA_SGD_True,0.26249999999999996
0.7845,25,DFA_RMSProp_True,0.21550000000000002
