Test Accuracy,n,Method,Error
0.59975,32,BP_SGD_True,0.40025
0.60175,32,BP_SGD_False,0.39825
0.60225,32,DFA_SGD_True,0.39775000000000005
0.5805,32,DFA_RMSProp_True,0.4195
0.64575,64,BP_SGD_True,0.35424999999999995
0.62375,64,BP_SGD_False,0.37625
0.62475,64,DFA_SGD_True,0.37525
0.61,64,DFA_RMSProp_True,0.39
0.76075,128,BP_SGD_True,0.23924999999999996
0.674,128,BP_SGD_False,0.32599999999999996
0.67375,128,DFA_SGD_True,0.32625000000000004
0.66675,128,DFA_RMSProp_True,0.33325000000000005
0.928,256,BP_SGD_True,0.07199999999999995
0.7405,256,BP_SGD_False,0.25949999999999995
0.768,256,DFA_SGD_True,0.23199999999999998
0.907,256,DFA_RMSProp_True,0.09299999999999997
0.97975,512,BP_SGD_True,0.02024999999999999
0.7835,512,BP_SGD_False,0.21650000000000003
0.804,512,DFA_SGD_True,0.19599999999999995
0.96325,512,DFA_RMSProp_True,0.03674999999999995
0.70325,32,BP_SGD_True,0.29674999999999996
0.70425,32,BP_SGD_False,0.29574999999999996
0.701,32,DFA_SGD_True,0.29900000000000004
0.6705,32,DFA_RMSProp_True,0.3295
0.7355,64,BP_SGD_True,0.26449999999999996
0.73275,64,BP_SGD_False,0.26725
0.735,64,DFA_SGD_True,0.265
0.701,64,DFA_RMSProp_True,0.29900000000000004
0.79925,128,BP_SGD_True,0.20074999999999998
0.782,128,BP_SGD_False,0.21799999999999997
0.78675,128,DFA_SGD_True,0.21325000000000005
0.78325,128,DFA_RMSProp_True,0.21675
0.85875,256,BP_SGD_True,0.14125
0.7835,256,BP_SGD_False,0.21650000000000003
0.7805,256,DFA_SGD_True,0.21950000000000003
0.881,256,DFA_RMSProp_True,0.119
0.883,512,BP_SGD_True,0.11699999999999999
0.80525,512,BP_SGD_False,0.19474999999999998
0.81375,512,DFA_SGD_True,0.18625000000000003
0.917,512,DFA_RMSProp_True,0.08299999999999996
0.659,32,BP_SGD_True,0.34099999999999997
0.64225,32,BP_SGD_False,0.35775
0.66325,32,DFA_SGD_True,0.33675
0.61225,32,DFA_RMSProp_True,0.38775000000000004
0.71175,64,BP_SGD_True,0.28825
0.689,64,BP_SGD_False,0.31100000000000005
0.7005,64,DFA_SGD_True,0.2995
0.66725,64,DFA_RMSProp_True,0.33275
0.922,128,BP_SGD_True,0.07799999999999996
0.78475,128,BP_SGD_False,0.21525000000000005
0.783,128,DFA_SGD_True,0.21699999999999997
0.83275,128,DFA_RMSProp_True,0.16725
0.96575,256,BP_SGD_True,0.03425
0.81425,256,BP_SGD_False,0.18574999999999997
0.8285,256,DFA_SGD_True,0.17149999999999999
0.89775,256,DFA_RMSProp_True,0.10224999999999995
0.99175,512,BP_SGD_True,0.00824999999999998
0.8575,512,BP_SGD_False,0.14249999999999996
0.87525,512,DFA_SGD_True,0.12475000000000003
0.9745,512,DFA_RMSProp_True,0.025499999999999967
