Test Accuracy,d,Method,Error
0.9845,5,BP_SGD_True,0.015499999999999958
0.88175,5,DFA_SGD_True,0.11824999999999997
0.993,5,DFA_RMSProp_True,0.007000000000000006
1.0,5,BP_RMSProp_True,0.0
0.9465,10,BP_SGD_True,0.05349999999999999
0.68525,10,DFA_SGD_True,0.31475
0.9945,10,DFA_RMSProp_True,0.005499999999999949
0.99525,10,BP_RMSProp_True,0.004750000000000032
0.91475,15,BP_SGD_True,0.08525000000000005
0.6495,15,DFA_SGD_True,0.35050000000000003
0.95725,15,DFA_RMSProp_True,0.042749999999999955
0.9905,15,BP_RMSProp_True,0.009499999999999953
0.886,20,BP_SGD_True,0.11399999999999999
0.64425,20,DFA_SGD_True,0.35575
0.971,20,DFA_RMSProp_True,0.029000000000000026
0.9605,20,BP_RMSProp_True,0.03949999999999998
0.83775,25,BP_SGD_True,0.16225
0.6325,25,DFA_SGD_True,0.36750000000000005
0.877,25,DFA_RMSProp_True,0.123
0.8995,25,BP_RMSProp_True,0.10050000000000003
0.98025,5,BP_SGD_True,0.019750000000000045
0.8795,5,DFA_SGD_True,0.12050000000000005
0.99775,5,DFA_RMSProp_True,0.0022499999999999742
1.0,5,BP_RMSProp_True,0.0
0.949,10,BP_SGD_True,0.051000000000000045
0.70925,10,DFA_SGD_True,0.29074999999999995
0.9945,10,DFA_RMSProp_True,0.005499999999999949
0.99575,10,BP_RMSProp_True,0.004249999999999976
0.9045,15,BP_SGD_True,0.09550000000000003
0.675,15,DFA_SGD_True,0.32499999999999996
0.95875,15,DFA_RMSProp_True,0.04125000000000001
0.98975,15,BP_RMSProp_True,0.010249999999999981
0.87925,20,BP_SGD_True,0.12075000000000002
0.6475,20,DFA_SGD_True,0.35250000000000004
0.94925,20,DFA_RMSProp_True,0.05074999999999996
0.92875,20,BP_RMSProp_True,0.07125000000000004
0.85775,25,BP_SGD_True,0.14225
0.64325,25,DFA_SGD_True,0.35675
0.87575,25,DFA_RMSProp_True,0.12424999999999997
0.9115,25,BP_RMSProp_True,0.08850000000000002
0.98375,5,BP_SGD_True,0.016249999999999987
0.8675,5,DFA_SGD_True,0.13249999999999995
0.99825,5,DFA_RMSProp_True,0.0017500000000000293
1.0,5,BP_RMSProp_True,0.0
0.958,10,BP_SGD_True,0.04200000000000004
0.7025,10,DFA_SGD_True,0.2975
0.988,10,DFA_RMSProp_True,0.01200000000000001
0.9975,10,BP_RMSProp_True,0.0024999999999999467
0.918,15,BP_SGD_True,0.08199999999999996
0.6615,15,DFA_SGD_True,0.3385
0.96825,15,DFA_RMSProp_True,0.031749999999999945
0.99575,15,BP_RMSProp_True,0.004249999999999976
0.8695,20,BP_SGD_True,0.13049999999999995
0.647,20,DFA_SGD_True,0.353
0.9565,20,DFA_RMSProp_True,0.04349999999999998
0.9585,20,BP_RMSProp_True,0.04149999999999998
0.841,25,BP_SGD_True,0.15900000000000003
0.64025,25,DFA_SGD_True,0.35975
0.918,25,DFA_RMSProp_True,0.08199999999999996
0.898,25,BP_RMSProp_True,0.10199999999999998
