Test Accuracy,d,Method,Error
0.9985,5,BP_SGD_True,0.0014999999999999458
0.9485,5,BP_SGD_False,0.05149999999999999
0.99425,10,BP_SGD_True,0.005750000000000033
0.80725,10,BP_SGD_False,0.19274999999999998
0.985,15,BP_SGD_True,0.015000000000000013
0.77225,15,BP_SGD_False,0.22775
0.942,20,BP_SGD_True,0.05800000000000005
0.70475,20,BP_SGD_False,0.29525
0.88725,25,BP_SGD_True,0.11275000000000002
0.67825,25,BP_SGD_False,0.32175
0.9985,5,BP_SGD_True,0.0014999999999999458
0.947,5,BP_SGD_False,0.05300000000000005
0.99375,10,BP_SGD_True,0.006249999999999978
0.83225,10,BP_SGD_False,0.16774999999999995
0.98425,15,BP_SGD_True,0.015750000000000042
0.779,15,BP_SGD_False,0.22099999999999997
0.9395,20,BP_SGD_True,0.0605
0.71,20,BP_SGD_False,0.29000000000000004
0.90575,25,BP_SGD_True,0.09424999999999994
0.66925,25,BP_SGD_False,0.33075
0.99875,5,BP_SGD_True,0.0012499999999999734
0.9355,5,BP_SGD_False,0.0645
0.995,10,BP_SGD_True,0.0050000000000000044
0.832,10,BP_SGD_False,0.16800000000000004
0.9855,15,BP_SGD_True,0.014499999999999957
0.77425,15,BP_SGD_False,0.22575
0.94325,20,BP_SGD_True,0.05674999999999997
0.7045,20,BP_SGD_False,0.2955
0.88025,25,BP_SGD_True,0.11975000000000002
0.6675,25,BP_SGD_False,0.3325
