Train Accuracy,Test Accuracy,d,Method,Error,Train Error
1.0,0.99675,5,BP_SGD_True,0.003249999999999975,0.0
0.9765625,0.952,5,DFA_SGD_True,0.04800000000000004,0.0234375
1.0,0.98775,5,DFA_RMSProp_True,0.012249999999999983,0.0
1.0,0.98775,5,BP_RMSProp_True,0.012249999999999983,0.0
1.0,0.9825,10,BP_SGD_True,0.01749999999999996,0.0
0.9140625,0.859,10,DFA_SGD_True,0.14100000000000001,0.0859375
1.0,0.947,10,DFA_RMSProp_True,0.05300000000000005,0.0
1.0,0.95775,10,BP_RMSProp_True,0.04225000000000001,0.0
1.0,0.9605,15,BP_SGD_True,0.03949999999999998,0.0
0.9296875,0.8325,15,DFA_SGD_True,0.16749999999999998,0.0703125
1.0,0.8925,15,DFA_RMSProp_True,0.10750000000000004,0.0
1.0,0.86625,15,BP_RMSProp_True,0.13375000000000004,0.0
1.0,0.9115,20,BP_SGD_True,0.08850000000000002,0.0
0.921875,0.794,20,DFA_SGD_True,0.20599999999999996,0.078125
1.0,0.8485,20,DFA_RMSProp_True,0.15149999999999997,0.0
1.0,0.76925,20,BP_RMSProp_True,0.23075,0.0
1.0,0.8885,25,BP_SGD_True,0.11150000000000004,0.0
0.921875,0.777,25,DFA_SGD_True,0.22299999999999998,0.078125
1.0,0.81975,25,DFA_RMSProp_True,0.18025000000000002,0.0
1.0,0.76225,25,BP_RMSProp_True,0.23775000000000002,0.0
1.0,0.99725,5,BP_SGD_True,0.00275000000000003,0.0
0.98828125,0.971,5,DFA_SGD_True,0.029000000000000026,0.01171875
1.0,0.9895,5,DFA_RMSProp_True,0.010499999999999954,0.0
1.0,0.99225,5,BP_RMSProp_True,0.007750000000000035,0.0
1.0,0.984,10,BP_SGD_True,0.016000000000000014,0.0
0.9296875,0.8635,10,DFA_SGD_True,0.13649999999999995,0.0703125
1.0,0.919,10,DFA_RMSProp_True,0.08099999999999996,0.0
1.0,0.9515,10,BP_RMSProp_True,0.04849999999999999,0.0
1.0,0.958,15,BP_SGD_True,0.04200000000000004,0.0
0.8984375,0.81075,15,DFA_SGD_True,0.18925000000000003,0.1015625
1.0,0.91675,15,DFA_RMSProp_True,0.08325000000000005,0.0
1.0,0.88175,15,BP_RMSProp_True,0.11824999999999997,0.0
1.0,0.91625,20,BP_SGD_True,0.08374999999999999,0.0
0.92578125,0.77825,20,DFA_SGD_True,0.22175,0.07421875
1.0,0.828,20,DFA_RMSProp_True,0.17200000000000004,0.0
1.0,0.77,20,BP_RMSProp_True,0.22999999999999998,0.0
1.0,0.892,25,BP_SGD_True,0.10799999999999998,0.0
0.91796875,0.784,25,DFA_SGD_True,0.21599999999999997,0.08203125
1.0,0.8175,25,DFA_RMSProp_True,0.1825,0.0
1.0,0.74975,25,BP_RMSProp_True,0.25025,0.0
1.0,0.99725,5,BP_SGD_True,0.00275000000000003,0.0
0.98046875,0.973,5,DFA_SGD_True,0.027000000000000024,0.01953125
1.0,0.9925,5,DFA_RMSProp_True,0.007499999999999951,0.0
1.0,0.9965,5,BP_RMSProp_True,0.0034999999999999476,0.0
1.0,0.98375,10,BP_SGD_True,0.016249999999999987,0.0
0.93359375,0.8605,10,DFA_SGD_True,0.13949999999999996,0.06640625
1.0,0.90575,10,DFA_RMSProp_True,0.09424999999999994,0.0
1.0,0.946,10,BP_RMSProp_True,0.05400000000000005,0.0
1.0,0.95875,15,BP_SGD_True,0.04125000000000001,0.0
0.921875,0.80875,15,DFA_SGD_True,0.19125000000000003,0.078125
1.0,0.883,15,DFA_RMSProp_True,0.11699999999999999,0.0
1.0,0.879,15,BP_RMSProp_True,0.121,0.0
1.0,0.90625,20,BP_SGD_True,0.09375,0.0
0.92578125,0.79,20,DFA_SGD_True,0.20999999999999996,0.07421875
1.0,0.85,20,DFA_RMSProp_True,0.15000000000000002,0.0
1.0,0.78675,20,BP_RMSProp_True,0.21325000000000005,0.0
1.0,0.8875,25,BP_SGD_True,0.11250000000000004,0.0
0.921875,0.77975,25,DFA_SGD_True,0.22024999999999995,0.078125
1.0,0.833,25,DFA_RMSProp_True,0.16700000000000004,0.0
1.0,0.7605,25,BP_RMSProp_True,0.23950000000000005,0.0
