Test Accuracy,d,Method,Error
0.99775,5,BP_SGD_True,0.0022499999999999742
0.98175,5,DFA_SGD_True,0.01824999999999999
0.989,5,DFA_RMSProp_True,0.01100000000000001
0.9965,5,BP_RMSProp_True,0.0034999999999999476
0.9885,10,BP_SGD_True,0.011499999999999955
0.8995,10,DFA_SGD_True,0.10050000000000003
0.97375,10,DFA_RMSProp_True,0.026249999999999996
0.95975,10,BP_RMSProp_True,0.04025000000000001
0.981,15,BP_SGD_True,0.019000000000000017
0.84175,15,DFA_SGD_True,0.15825
0.899,15,DFA_RMSProp_True,0.10099999999999998
0.931,15,BP_RMSProp_True,0.06899999999999995
0.96025,20,BP_SGD_True,0.03974999999999995
0.812,20,DFA_SGD_True,0.18799999999999994
0.861,20,DFA_RMSProp_True,0.139
0.807,20,BP_RMSProp_True,0.19299999999999995
0.90575,25,BP_SGD_True,0.09424999999999994
0.744,25,DFA_SGD_True,0.256
0.768,25,DFA_RMSProp_True,0.23199999999999998
0.771,25,BP_RMSProp_True,0.22899999999999998
0.99725,5,BP_SGD_True,0.00275000000000003
0.98375,5,DFA_SGD_True,0.016249999999999987
0.9945,5,DFA_RMSProp_True,0.005499999999999949
0.9975,5,BP_RMSProp_True,0.0024999999999999467
0.99075,10,BP_SGD_True,0.00924999999999998
0.8955,10,DFA_SGD_True,0.10450000000000004
0.95375,10,DFA_RMSProp_True,0.04625000000000001
0.94875,10,BP_RMSProp_True,0.05125000000000002
0.9795,15,BP_SGD_True,0.020499999999999963
0.849,15,DFA_SGD_True,0.15100000000000002
0.92425,15,DFA_RMSProp_True,0.07574999999999998
0.85125,15,BP_RMSProp_True,0.14875000000000005
0.9535,20,BP_SGD_True,0.046499999999999986
0.785,20,DFA_SGD_True,0.21499999999999997
0.87325,20,DFA_RMSProp_True,0.12675000000000003
0.8195,20,BP_RMSProp_True,0.1805
0.913,25,BP_SGD_True,0.08699999999999997
0.742,25,DFA_SGD_True,0.258
0.772,25,DFA_RMSProp_True,0.22799999999999998
0.78225,25,BP_RMSProp_True,0.21775
0.99775,5,BP_SGD_True,0.0022499999999999742
0.9835,5,DFA_SGD_True,0.01649999999999996
0.9915,5,DFA_RMSProp_True,0.008499999999999952
0.997,5,BP_RMSProp_True,0.0030000000000000027
0.9895,10,BP_SGD_True,0.010499999999999954
0.91275,10,DFA_SGD_True,0.08725000000000005
0.98875,10,DFA_RMSProp_True,0.011249999999999982
0.95675,10,BP_RMSProp_True,0.04325000000000001
0.98375,15,BP_SGD_True,0.016249999999999987
0.852,15,DFA_SGD_True,0.14800000000000002
0.93575,15,DFA_RMSProp_True,0.06425000000000003
0.85425,15,BP_RMSProp_True,0.14575000000000005
0.9485,20,BP_SGD_True,0.05149999999999999
0.80025,20,DFA_SGD_True,0.19974999999999998
0.87175,20,DFA_RMSProp_True,0.12824999999999998
0.81325,20,BP_RMSProp_True,0.18674999999999997
0.90775,25,BP_SGD_True,0.09225000000000005
0.75075,25,DFA_SGD_True,0.24924999999999997
0.766,25,DFA_RMSProp_True,0.23399999999999999
0.77325,25,BP_RMSProp_True,0.22675
