Test Accuracy,d,Method,Error
0.99375,5,BP_SGD_True,0.006249999999999978
0.7865,5,BP_SGD_False,0.21350000000000002
0.93775,5,DFA_SGD_True,0.06225000000000003
1.0,5,DFA_RMSProp_True,0.0
1.0,5,BP_RMSProp_True,0.0
0.9925,10,BP_SGD_True,0.007499999999999951
0.743,10,BP_SGD_False,0.257
0.845,10,DFA_SGD_True,0.15500000000000003
0.99975,10,DFA_RMSProp_True,0.00024999999999997247
0.99975,10,BP_RMSProp_True,0.00024999999999997247
0.986,15,BP_SGD_True,0.014000000000000012
0.70775,15,BP_SGD_False,0.29225
0.812,15,DFA_SGD_True,0.18799999999999994
0.995,15,DFA_RMSProp_True,0.0050000000000000044
0.99875,15,BP_RMSProp_True,0.0012499999999999734
0.98525,20,BP_SGD_True,0.01475000000000004
0.69325,20,BP_SGD_False,0.30674999999999997
0.74375,20,DFA_SGD_True,0.25625
0.99275,20,DFA_RMSProp_True,0.007249999999999979
0.9965,20,BP_RMSProp_True,0.0034999999999999476
0.9815,25,BP_SGD_True,0.01849999999999996
0.674,25,BP_SGD_False,0.32599999999999996
0.7325,25,DFA_SGD_True,0.26749999999999996
0.968,25,DFA_RMSProp_True,0.03200000000000003
0.97825,25,BP_RMSProp_True,0.021750000000000047
