Test Accuracy,n,Method,Error
0.62975,32,BP_SGD_True,0.37024999999999997
0.61725,32,BP_SGD_False,0.38275000000000003
0.7535,64,BP_SGD_True,0.24650000000000005
0.73575,64,BP_SGD_False,0.26425
0.78725,128,BP_SGD_True,0.21275
0.786,128,BP_SGD_False,0.21399999999999997
0.883,256,BP_SGD_True,0.11699999999999999
0.78225,256,BP_SGD_False,0.21775
0.94025,512,BP_SGD_True,0.05974999999999997
0.79,512,BP_SGD_False,0.20999999999999996
0.48575,32,BP_SGD_True,0.51425
0.47575,32,BP_SGD_False,0.52425
0.52625,64,BP_SGD_True,0.47375
0.51525,64,BP_SGD_False,0.48475
0.62575,128,BP_SGD_True,0.37424999999999997
0.58775,128,BP_SGD_False,0.41225
0.683,256,BP_SGD_True,0.31699999999999995
0.64425,256,BP_SGD_False,0.35575
0.746,512,BP_SGD_True,0.254
0.6575,512,BP_SGD_False,0.3425
0.57225,32,BP_SGD_True,0.42774999999999996
0.56625,32,BP_SGD_False,0.43374999999999997
0.587,64,BP_SGD_True,0.41300000000000003
0.561,64,BP_SGD_False,0.43899999999999995
0.7595,128,BP_SGD_True,0.24050000000000005
0.59375,128,BP_SGD_False,0.40625
0.83225,256,BP_SGD_True,0.16774999999999995
0.61575,256,BP_SGD_False,0.38425
0.91,512,BP_SGD_True,0.08999999999999997
0.637,512,BP_SGD_False,0.363
