Test Accuracy,n,Method,Error
0.593,32,BP_SGD_True,0.40700000000000003
0.587,32,BP_SGD_False,0.41300000000000003
0.77475,64,BP_SGD_True,0.22524999999999995
0.6705,64,BP_SGD_False,0.3295
0.8745,128,BP_SGD_True,0.12549999999999994
0.69325,128,BP_SGD_False,0.30674999999999997
0.97175,256,BP_SGD_True,0.028249999999999997
0.73175,256,BP_SGD_False,0.26825
0.99175,512,BP_SGD_True,0.00824999999999998
0.8235,512,BP_SGD_False,0.1765
0.58725,32,BP_SGD_True,0.41274999999999995
0.56675,32,BP_SGD_False,0.43325
0.77925,64,BP_SGD_True,0.22075
0.65425,64,BP_SGD_False,0.34575
0.86525,128,BP_SGD_True,0.13475000000000004
0.69025,128,BP_SGD_False,0.30974999999999997
0.97075,256,BP_SGD_True,0.029249999999999998
0.73625,256,BP_SGD_False,0.26375000000000004
0.99275,512,BP_SGD_True,0.007249999999999979
0.82025,512,BP_SGD_False,0.17974999999999997
0.58925,32,BP_SGD_True,0.41074999999999995
0.5765,32,BP_SGD_False,0.4235
0.7635,64,BP_SGD_True,0.23650000000000004
0.66575,64,BP_SGD_False,0.33425000000000005
0.867,128,BP_SGD_True,0.133
0.68175,128,BP_SGD_False,0.31825000000000003
0.96925,256,BP_SGD_True,0.030750000000000055
0.7395,256,BP_SGD_False,0.26049999999999995
0.9915,512,BP_SGD_True,0.008499999999999952
0.82175,512,BP_SGD_False,0.17825000000000002
